style-scope src,yt-simple-endpoint href,style-scope,yt-simple-endpoint,yt-simple-endpoint href 2,yt-core-attributed-string,style-scope 3,,,
https://yt3.ggpht.com/IsrCORXpYPX74jqM70U5uuYWTMKYINJYrEu70_RU_dta3CSMiW_wR82ieIcGDJm-hXuTDVeyfLQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@yusupeskrim8753,@yusupeskrim8753,5 bulan yang lalu,https://www.youtube.com/watch?v=teeb7-qZ3r0&lc=UgyjKy2erVVlHhbTLkx4AaABAg,"Enak sekali ini apalagi dimakan hangat, sama kopi hitam mantap.",,,,
https://yt3.ggpht.com/w0jjewPycuEfdohNEGGVZVU5QsSHvGMG4AxnqiquiEaWOjPKeQ2l7xBVALz5ktD7Jpdg_q2KrQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@sipalingsipaling6260,@sipalingsipaling6260,3 tahun yang lalu,https://www.youtube.com/watch?v=teeb7-qZ3r0&lc=Ugy1bTeprYnnP_ge-a14AaABAg&pp=0gcJCSMANpG00pGi,Burayot kanjut,Terjemahkan ke bahasa Indonesia,,,
https://yt3.ggpht.com/ytc/AIdro_kyxhZF0b0aNjJwXhFs5w_K4A1rlwanrWfRcPvXFxg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@hestimuzianingsih6192,@hestimuzianingsih6192,3 tahun yang lalu,https://www.youtube.com/watch?v=teeb7-qZ3r0&lc=UgwWFMXZyQqMdoIkrPd4AaABAg&pp=0gcJCSMANpG00pGi,Kangen oleh2 garut dulu suka dubawain ua kalo mudik ke garut...jd pengen,,,,
https://yt3.ggpht.com/swp1F3ntANCuLTJnS4X-Hv-iSmC52FjqU5VN216RlDYZSiAIOKepWef3zZGQP-xXOZWxRmXUvQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@thelastczarnian,@thelastczarnian,3 tahun yang lalu,https://www.youtube.com/watch?v=teeb7-qZ3r0&lc=UgwR2pdE7G4qZyt3ZfF4AaABAg,"enak, mirip2 cucur",,,,
https://yt3.ggpht.com/O154JlersgyYk-KrGG56Buo9OE76CJIXiqiByU0OvUTSoCFVCpmlKJoveL-j7OSOPUY4q0464Jw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@lopz_bar,@lopz_bar,3 tahun yang lalu,https://www.youtube.com/watch?v=teeb7-qZ3r0&lc=UgwCsvFRRd17DFJvmKJ4AaABAg,mirip telor punya si anton wkwk,,,,
https://yt3.ggpht.com/ytc/AIdro_lAAmR4GFQ0zCFBlBRp0-794PY_pZo8Fd3r0aAK43KuXi8=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@muhammadrafly9952,@muhammadrafly9952,3 tahun yang lalu,https://www.youtube.com/watch?v=teeb7-qZ3r0&lc=Ugx7EKPTiu30F9AyJdd4AaABAg,Hadir bang dari Garut,,,,
https://yt3.ggpht.com/ytc/AIdro_noUY0uoqnAs-JJEQ42VnHqksT4O1cYYmyRGx_vvz4=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Ahmad-lq3wf,@Ahmad-lq3wf,3 tahun yang lalu,https://www.youtube.com/watch?v=teeb7-qZ3r0&lc=Ugz54L65F34RZSNA5i14AaABAg,Wajannya keren,,,,
https://yt3.ggpht.com/hrO9pAIkX_AXsSwQ2M73pTRMOq74ykb8QrGwKV7fJsb-D5VRyPevK78PfV6C8FB8k2xS0QGwyA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@PLTFishing,@PLTFishing,3 tahun yang lalu,https://www.youtube.com/watch?v=teeb7-qZ3r0&lc=UgzxclGssdOsz50gv114AaABAg,Burayot khas Garut blm pernah tau jadi penasaran,,,,
https://yt3.ggpht.com/ytc/AIdro_k9IJOVVRmsfW3S9iO6vHOjlNFfp9CvypLeFuvZQXg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@fajar1626,@fajar1626,3 tahun yang lalu,https://www.youtube.com/watch?v=teeb7-qZ3r0&lc=Ugww2FMXTsn0Xrv1Vix4AaABAg,Piring nya udh ber evolusi ya,,,,
https://yt3.ggpht.com/pAv-cHjqFLc52nXlhXJYmhsDBEzIbZl2iaiMA_K9-MkgBorS5d9klWxgXoSEOk0Pyp4z3kzK=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@sharellsantosa402,@sharellsantosa402,3 tahun yang lalu,https://www.youtube.com/watch?v=teeb7-qZ3r0&lc=UgxYqzTxNLW7SrruG7t4AaABAg,awalnya gw kira dia mau buat Permen yg ada di squid game:v ternyata bukan,,,,
