style-scope src,yt-simple-endpoint href,style-scope,yt-simple-endpoint,yt-simple-endpoint href 2,yt-core-attributed-string,style-scope 2,,,,
https://yt3.ggpht.com/ytc/AIdro_ng5BK_Pnv2K1jM8s72sojtYb10PqgcWkjHnTih5oU=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@topanalie8916,@topanalie8916,2 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgzP0uHwDw6KQR2aYr94AaABAg,"gimana caranya untuk di jual lagi ,,kasih info donk",,,,,
https://yt3.ggpht.com/sae8-n12IH-BKa1GtB-gpX4RyAvg9avOx5rMpKru52K9WaxJtta2l0YO60BRpgZZdp8ftnV3wQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@cimuluscirahayu7794,@cimuluscirahayu7794,2 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgxHLjdlrRue8dFfeZ14AaABAg,Enak dodol tenjo,,,,,
https://yt3.ggpht.com/ytc/AIdro_kThqCifdyPsV_CBjqEGFUFwQa0rx9vJ6pL_OgOntbCsfE=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@ainyqurrota,@ainyqurrota,6 bulan yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgzpIQEU8kTUl5TrJB94AaABAg,Kog bisa awet tahan lamaaa yah !!?? Aq buat belum seminggu udah bau,,,,,
https://yt3.ggpht.com/ytc/AIdro_mXY03KlJHNOwvv-qGEgIJrfcRWbKmU2OosWATY-CE=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@nadafadhilahrahman2593,@nadafadhilahrahman2593,4 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgwM_yGBArITETvkqDp4AaABAg,Dodol nya enak ya,,,,,
https://yt3.ggpht.com/ytc/AIdro_nxRQvHuRBoPErh6r555FM-wh7kWjZdwKIqlX8-cqiIww=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@yuangita1477,@yuangita1477,5 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=Ugz49KQoKg7j_LhkV7F4AaABAg,Dodol doyan,2,,,,
https://yt3.ggpht.com/ytc/AIdro_mW951I9_Y1LaqgaX5XWaZGMOQMTnwelOzDgN1_6jA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@komangayu1279,@komangayu1279,5 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgzY5q2JgZAae72xYcx4AaABAg,MN RESEPNYA,,,,,
https://yt3.ggpht.com/r-7dW8oKw5eV_U_RydoneJs5TAKxTPAXc2AbrmcRmyj37rYuSKZcbr02CZ8ebr7K5w8u9mWC=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@creator_5462,@creator_5462,3 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=Ugzt9Q4LRbgIGwUsHJl4AaABAg,dodol gasrut luar kering dalamnya basah pasti enak,1,,,,
https://yt3.ggpht.com/ytc/AIdro_nPppyc0hmai-x45_Gy07vhS28G8UgvUu_j8V07DupKeF4=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Anna-jl6nn,@Anna-jl6nn,3 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgwH6OLFKMartOnCWfR4AaABAg,Bahannya apa saja ka?,,,,,
https://yt3.ggpht.com/ytc/AIdro_kt-bvrIL0BrHih2SOU1f_wIjsesbnjhg2J0ZWpzqHD=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@mbakemi4186,@mbakemi4186,3 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=Ugyh3dxK4X69ZfpjzXB4AaABAg,No wa'y produksi tangan pertamakan. Sy pesan banyak buat jual lg,,,,,
https://yt3.ggpht.com/ytc/AIdro_n6T6zC4mMFD9TbB-iRSVJkvJd7_Jzu-xOVp6uEda5rR58=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@solehbandung5974,@solehbandung5974,4 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgxhZv1dykhr4lXMiZx4AaABAg,Rasa wijen paling ngeunah,,,,,
