username,comment,date,platform
7 tahun yang lalu,Bang Sapa Yang Ngomong waktu Coklat rasa sayang nya hancur Kayaknya Suara Cewek ??? ;|,@forstdark8809,youtube
7 tahun yang lalu,Jadi pengen,@dzaky_prime4020,youtube
5 tahun yang lalu,Aku pernah beli di garut arah nagreg banyak banget,@tukijo1732,youtube
7 tahun yang lalu (diedit),"Nama Coklatnya Bikin Ngakak
Edit: Coba Ada Coklat Bikin Pintar Pelajaran MTK :v",@robokochan9486,youtube
6 tahun yang lalu,Woi bantu bang nelson 2juta sucsriber plaisee,@shayyengaming9266,youtube
7 tahun yang lalu,Bikin baper eh keceplosan bikin laper gitu,@fahmimaulana6220,youtube
3 tahun yang lalu,Udah berkali-kali nonton ini tapi tetap ngakak,@karimlim1552,youtube
7 tahun yang lalu,"MAKANLAH MAKANAN YANG BAIK NAK.....XD
wkowkowkowk",@danir.h5118,youtube
5 tahun yang lalu,"ya memang ada bang mesti kalau di kasir selalu ada permen2 gituu,aku jg pernah liat",@tizcloudys_1249,youtube
5 tahun yang lalu,Coklat rasa sayang atau coklat rasa tawar,@izzatulfatihah4867,youtube
5 tahun yang lalu,ngakak,@yohanesagung8324,youtube
7 tahun yang lalu,Ngiler banggg!!,@pycegamingch1643,youtube
7 tahun yang lalu,kak nelson setiap malam mingu buat begini lagi donk?,@herogt5481,youtube
2 tahun yang lalu,"Ada yg nonton di thn 2023 ga? 
Apa cuma aku doang??!!",@angelicagaming08,youtube
1 tahun yang lalu,Kenapa ga aplod di NeruNeruSon bang,@Zaaifah_62,youtube
7 tahun yang lalu,Aku kalo liat makanan jadi lapar,@niknok6738,youtube
6 tahun yang lalu,"Bang, yg jadi kameramen siapa bang? Kakak abng yah? Apa cewek abng? 


Suaranya perempuan",@flexzplayz5704,youtube
5 tahun yang lalu,"Itu juga ada coklat ""Kece badai""",@puyatheburpu2802,youtube
5 tahun yang lalu,"Astagaaa,gw udh nonton ini berulang kli,tp ga bosen2",@sayyidahaliiffah3746,youtube
7 tahun yang lalu,"Untung g ad coklat rasa yg dlu pernah ada ya :'v

+Beacon Cream",@Kazuki_02,youtube
5 tahun yang lalu,"Apakah hanya gw yg nonton vidio ini 2020
Yg sama likes",@keluekrblx6370,youtube
7 tahun yang lalu,"Bang,aku mau nanya kamu setiap video pasti ngomongin tentang pacar emang kamu jomblo ya,terus kamu umur berapa sama kelas berapa tolong di jawab ya bang nelson",@wilhya5129,youtube
5 tahun yang lalu (diedit),Kalo aku setiap pulang dari bandung harus beli semua coklat itu aku beli coklat itu yg tulisannya aku cinta kamu  padahal... Aku jomblo,@kirana4405,youtube
5 tahun yang lalu,bang nelson 2017: semoga aku gak jomblo lagi,@heigelritonga483,youtube
7 tahun yang lalu,Bang abang super ya suka baper sampe makan coklat tahan baper aku sih juga super suka baper udah umur 17 taun belum ada mantan apalagi aku pernah liat orang pacaran sejak itu aku super suka baper ya sampe aku nangis nangis ya tapi kata temen aku yang udah punya mantan yang sabar yaudah akusih sabar aja terus orang yang lagi pacaran tiba tiba berantem terus aku liat lagi coba dunia mamang tidak benar,@Laras-gx3tp,youtube
7 tahun yang lalu,Bang kapan room tour??,@ryand14,youtube
5 tahun yang lalu,Ih Ampuh loh buktinya Skrng Dapet Sarah Piloid Semoga Beneran jadian :3,@sweettea278,youtube
7 tahun yang lalu,Bang kalo mau jodoh di minecraft abang main comes alive yang setuju like,@lubnaayesha8883,youtube
5 tahun yang lalu,"Gw pernah makan coklat merek itu 
Tapi tulisannya ""coklat anti miskin""",@lezer2086,youtube
4 tahun yang lalu,2021 bang Nelson masih memegang gelar jojoba veteran,@ghous-ns6be,youtube
5 tahun yang lalu,dia bicara lagi Abang Nelson siapa kameramenya,@sulfangans7788,youtube
7 tahun yang lalu,11× ditonton 40 like... Youtube logic lagi..,@lufkeyy,youtube
7 tahun yang lalu,COKLAT ENTENG JODOH AKU PERNAH MAKAN ENAK CEPET ABIS  PAS LAGI TUKER KADO SAMA SAUDARA !,@azkaezx,youtube
7 tahun yang lalu,Babang biken kapan maen smp s3 lagi bang?,@muhammadhaykalabdillah6967,youtube
1 tahun yang lalu,nostalgiaaaaa,@jaeinra,youtube
7 tahun yang lalu,bang room tour 400k,@rezamuhammad2110,youtube
7 tahun yang lalu,Enak nih,@bagas_gamersgemer610,youtube
6 tahun yang lalu,Gw pernah beli yg tolak miskin :v,@bluh9149,youtube
6 tahun yang lalu,Cieeee sama kak mutia,@lucreshiana5881,youtube
5 tahun yang lalu (diedit),"Udah tahun 2020 masih aja jombloooooooooo
Sama kok, jomblo",@jenartria759,youtube
5 tahun yang lalu,Sskarang menjelang 2020 dan tak kunjung mendapatkan jodoh,@ikanpunya622,youtube
6 tahun yang lalu,Cokelat di Gramedia yang gua tinggalin,@maryantoindragunawan7494,youtube
5 tahun yang lalu,Wwkkwkwk cokelat enteng jodoh pahit wkwkwk btw bang siapa kameramen nya kok sepertinya wanita???,@Yudastadeuskk,youtube
7 tahun yang lalu,Bang itu siapa yang megang kamera siap bang?,@annisakhumaira6209,youtube
6 tahun yang lalu,wah ada ya cokalat jodohh semoga aja ka nelson dapat jodoh yang setia suka solat dan membantu ka nelson amin,@Eko-up1ob,youtube
5 tahun yang lalu,"Bang nelson bisa tunjukan  muka asli
Kamera men nya?",@aryaahmadfaraby5528,youtube
5 tahun yang lalu,Semoga bang Nelson semoga enteng dapat jodoh dan semoga dapat banyak rasa sayang dari jodohnya,@andreafranciliano7688,youtube
5 tahun yang lalu,Siapa yg nonton di 2019 bulan Desember tanggal 6 jum'at like ok,@VENOManjay-mr8fm,youtube
7 tahun yang lalu,Bang kalo makan coklat banyak banyak nanti tamba gendut loh,@putrii7802,youtube
7 tahun yang lalu,kak itu kalau yang coklat laki laki kalau yang putih cewek :v,@aisyahhassna1011,youtube
5 tahun yang lalu,"Old :  
New :",@ketutsudita3081,youtube
6 tahun yang lalu,Itu yg suara cewek siapa,@bayu692,youtube
7 tahun yang lalu,Ke banyakan makan coklat nanti sakit gigi,@rofaahmad5239,youtube
