username,comment,date,platform
sss,Dila ayu sintia,7/27/2021,tiktok
alya,ya,7/27/2021,tiktok
à,itu beli di mana kak,7/27/2021,tiktok
faissa_,aku tinggal di garut,8/3/2021,tiktok
norjanah692sipa,kk kirimi kk 🥺🥺🥺🥺,7/27/2021,tiktok
alya,ya ku org grt,7/27/2021,tiktok
_𝐔 𝐑 𝐋 𝐈 𝐂 𝐇 𝐔 𝐒_,kak coba 24 jam makan lalapan kak mohon🥰,8/5/2021,tiktok
Ariegocap,aku minta ke mamah aku mau beli semua tapi mahal jadi 1 aja,8/24/2021,tiktok
clarissa,mananih orang garut akuuuuu🥰,7/31/2021,tiktok
indah novita sari♥,kak 24 jam minum susu ultra,7/27/2021,tiktok
lala,bang makan sarang madu,7/28/2021,tiktok
claudy482,soundnya cocok buat juyy tu cocok nya,7/27/2021,tiktok
roblox cokyrbu,kota dodol di garut aku,7/27/2021,tiktok
Nᥲᥙrᥲᥲ,aku audah pernah nyobain coklat itu,7/27/2021,tiktok
Naura cantik,makan permen jadul pliss,7/27/2021,tiktok
SEPTIARA✨,KK minum 5 botol,7/26/2021,tiktok
putri,bang makan pizza,7/26/2021,tiktok
feyza,itu aku pernah beli di jogja karta🥰🥰,7/27/2021,tiktok
sakuraschool,aku udah cobain rasa nya enak🥰🥰😁😁,7/26/2021,tiktok
disaaa.211,soundnya Adi syahreza haha😂,7/28/2021,tiktok
ampun pak de,arman aj,7/26/2021,tiktok
kyslsbls_,garut nihh wk😂,7/26/2021,tiktok
bradjamustyputra,mau bro😃😃😃😃😃,7/26/2021,tiktok
joesaroso,Rara jadi pengen😅,7/26/2021,tiktok
claudy482,kaka makan mozarella donk😁,7/27/2021,tiktok
Salsä,saya satpol,7/28/2021,tiktok
Naura,kak seharian makan sosis kenhel,8/25/2021,tiktok
🥱,aku juga pernah beli kak di online,7/27/2021,tiktok
siti. nur.  halifah,KK coba makan tapoki,7/26/2021,tiktok
Nyl🍜,ih itu beli di mana ka,7/26/2021,tiktok
jomblo😓😭😭,y aku garut bener,7/26/2021,tiktok
Radit•<ez>,eh bang aku orang Garut 😂,7/27/2021,tiktok
ᝰ᪶ ֹׅꭉαׂׅׅ݂࣭݂ꪱ꯱ִָׂׂαׂׅׅ 𔘓̸⅌֪,nama Cokolatenya kyk pernah denger? padahal aku anak 2012,7/27/2021,tiktok
Kulinernyaberdua,"soundnya aku suka, bikin pusing malem2 😂",7/26/2021,tiktok
tarmilah970,ka ko coklat yang kaya gitu ada coklat nya pasti enak yah,8/26/2021,tiktok
Hihang hoheng🍌🐒,kok dia gak eneg makan coklat langsung di makan semua🥵,7/26/2021,tiktok
Cimory,Makan churoos,7/27/2021,tiktok
ysudahlah,"kalau aku ke Garut pasti borong coklat chocodot
enak bangget plis enderso aku yg ga pernah nyoba parah",7/26/2021,tiktok
kesya💫 ||,soudnya👍👍,7/26/2021,tiktok
kapten eyyy,coklat,7/26/2021,tiktok
jncychoo,lagunya mengandung sindiran😂😂,7/27/2021,tiktok
bapak nya ecep,Abang alumni kabut angktan brop?..nanya doang,7/26/2021,tiktok
lylyy_aaaaaa,Unboxing sosis kenzler🥺🥺,7/27/2021,tiktok
sifa,𝙠𝙠 𝙘𝙤𝙗𝙖𝙝 𝙢𝙖𝙠𝙖𝙣𝙜 𝙞𝙨𝙩𝙤𝙗𝙚𝙧𝙞,7/27/2021,tiktok
claudy482,jenaka daeng nya plis😂😅,7/27/2021,tiktok
Nyl🍜,plis kasih tau,7/26/2021,tiktok
civiii,"baru liat coklat gituu deh,parasan dulu aku pernahnya juga yg 500 san",7/27/2021,tiktok
zahraaa💋,tokonya namanya apa kak,7/27/2021,tiktok
haya,haya nama ku,7/27/2021,tiktok
ᶻ𝘇 𐰁⠀,makan basreng bg haha😅,7/26/2021,tiktok
Djdjshvsg,makan dodol garut kk,7/27/2021,tiktok
yayá.ʚଓ,"aku Orang Garut, Tapi Gak Pernah Makan Itu😂",7/29/2021,tiktok
H……..,soundnya ngebug,7/26/2021,tiktok
lydiazaa,kak belinya di mana kok aku ngiler ya 🥺,9/1/2021,tiktok
peuly,Semangat ngonten ya kak🥰,7/26/2021,tiktok
🇮🇩💥🇰🇭,error,7/26/2021,tiktok
🥭226🥭,semoga dibalas ya,7/26/2021,tiktok
DIOR,ka makan permen rokok,10/27/2021,tiktok
people!,MAKAN WAGYU A5 BANG,8/20/2021,tiktok
🥭226🥭,terus beli dimana kakak,7/26/2021,tiktok
🥭226🥭,itu namanya apa kak coklat nya,7/26/2021,tiktok
phoenix🐦‍🔥🔹,aku sayang,7/29/2021,tiktok
Rimzzz_,🔥,2 h yang lalu,tiktok
bocil pubg,😒,2-Aug,tiktok
⋆𐙚🪐,🗿,12/28/2024,tiktok
tessalonikat,🏖️🏖️🏖️⛱️🏖️⛱️🏖️,9/7/2021,tiktok
elva,🙂🙂,8/18/2021,tiktok
zhif_(a),🍫🍫🍫,8/12/2021,tiktok
zhif_(a),🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫,8/12/2021,tiktok
amiraazzahra172,@🥰🥰🥰😳😳,8/4/2021,tiktok
Cantika aurellia putri,@🍰🥺😅,8/3/2021,tiktok
flower💐,________________________🏃🇦🇪,8/2/2021,tiktok
flower💐,_______________________🏃🌇,8/2/2021,tiktok
flower💐,_________________________🏃😅,8/2/2021,tiktok
suatih 5,🍱,8/1/2021,tiktok
juandinataprakasa,@,7/27/2021,tiktok
