style-scope_src,yt-simple-endpoint_href,style-scope,yt-simple-endpoint,yt-simple-endpoint_href_2,yt-core-attributed-string,ytcoreimagehost_src,style-scope_2,style-scope_3
https://yt3.ggpht.com/f5UC0_UeL0LFCe01-YxrVsjwxF7eZR_EdiNVMUfgL_xfy2-5hQbT4ZqCgmuouow8qvnNdxfMJA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@vissydewi,@vissydewi,4 bulan yang lalu (diedit),https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgyaRRLRulZwYOy1GhZ4AaABAg,"Dr ekspresi n antusias mkn na cigana emng enduullll bgt tp meni jauh ath teh d Garut🥹🥹
Mesywa udh gede aja gemoy amat",,,
https://yt3.ggpht.com/ytc/AIdro_ndmI8uyVSR6zIMcW1VqpVsKqAAIK-2rlYqFaOSmVoWajPf=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@wiwinwidyaningsih120,@wiwinwidyaningsih120,3 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=Ugz9Le1ySh_F0c2kH794AaABAg,"Wah di cempaka ,tempat tinggal ku kalo pulang k Garut,harus nyobain klo lg pulkam",,,
https://yt3.ggpht.com/ytc/AIdro_lQ_7n9rsulWsUTQtad_2HXP-qesyMnR-4CCOdaElO5OMM=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@ranidewanti1542,@ranidewanti1542,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgyWgx5EF7nUfcF13U54AaABAg,"Ini mah baso tetangga saya, emang enak dedeuieun",https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f601.png,3.0,
https://yt3.ggpht.com/4sYfrOEkIizZav2977vFB7lWriry7qSMmk306nS-D9qxyy3KpgVTSSL6dEOmFMeG163yJF8feA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@pianursyifa67,@pianursyifa67,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=Ugx21HS8ZHWC5aEeRYp4AaABAg,Setiap yg teh shanty makan selalu bikin ngaruyyy... Huhu jadi kabitaaa,https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f924.png,,
https://yt3.ggpht.com/hAYsJlZAwuYswSbt4wSnKrjPE3v9M98ujWAdfVQKYQ48ee5wfxALb9L0TfohdlT7zCCNzTDf=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@mamahIzul-hm3mh,@mamahIzul-hm3mh,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgyCahaMw92OsWhntZh4AaABAg,"Maminya makan baso raos pisan, si kecil ade meswa ngabaceo we udah pinter ngomongnya udah jelas nak.",,,
https://yt3.ggpht.com/ytc/AIdro_kWGOY2zL43BkQohHAF2ubCG6ZxCBJ3MFVPoRSNnCPL3skEILciTq3Gatqql3ZDXtWv5A=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@ikalina9570,@ikalina9570,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgwyhDRarm7YE1OKqMl4AaABAg,"Ya Allah mezwa,, lucu dia, suka bngt dengerin mezwa ngoceh,,",https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f602.png,,
https://yt3.ggpht.com/ytc/AIdro_nZ3V1fUMpmb217KFhJzR0gtyGvTzuQCnIxoxheuU2-tEN9=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@fajrinanabilah9063,@fajrinanabilah9063,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgwXjuWiwS6NzHaNfJ94AaABAg,Awww kabitaaa,https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f622.png,1.0,Terjemahkan ke bahasa Indonesia
https://yt3.ggpht.com/ytc/AIdro_lVCaA2_Mv3ouJiKKzmBcZiEK4of2n2qjsUJC_CKk0=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@niningsriwahyuni4360,@niningsriwahyuni4360,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgyGkR1g23dZEjTLgOl4AaABAg,Memeeess... lucuuu iiihhh...,https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u2764.png,1.0,Terjemahkan ke bahasa Indonesia
https://yt3.ggpht.com/ytc/AIdro_mhOsVvyiOR2DKy9B1rrzX-He2qQZ1jqeEpHRZoUYxTFaBeYJh5jM0kO6i-v0IKU5wb0w=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Heriyadisetia-g5s,@Heriyadisetia-g5s,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgxRF-3eV315EtP8ynB4AaABAg,Wihh.. Madep pisan gaskeun teh Sikat 3 porsi teh ameh wareg,,,Terjemahkan ke bahasa Indonesia
,https://www.youtube.com/@SholahHilmi-sd6ev,@SholahHilmi-sd6ev,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgzFArL8xOYJ-7lEkP94AaABAg,Mantul Baksonya Teh... Joos,,3.0,
,https://www.youtube.com/@caramel076,@caramel076,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgxcLEoKMDL9u0wL3zt4AaABAg,Aya tissue hareupeun anggeur geus jadi kebiasaan di ledot di elappp ku leungeunnn,,6.0,Terjemahkan ke bahasa Indonesia
https://yt3.ggpht.com/1WTO9O2OogV0dz3Uy4E8WAXhD_qwPIhBtXfGAmHygtCHIYPIirkWvSOywOdgjTbEFuROHv2Y=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Pur435,@Pur435,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgzIJvA7FVgNYCbG7Hl4AaABAg,"Bakso Aci mantap, semoga sukses",,,
https://yt3.ggpht.com/ytc/AIdro_kUYYJ59uaJSdr0NSbVpF5mOOhlgX5gsTcaIly6VaB80AU=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@yosidwinormayanti7499,@yosidwinormayanti7499,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=Ugzd1iKnq4MnjMuN-BV4AaABAg,Teh cobain seblak teh dini yg lagi viral di karangnunggal tasikmalaya banyak yg udh review,,,
https://yt3.ggpht.com/ytc/AIdro_l7ed3KWb4m8zmrPZy7ZFn_ymnrIs8KpYBSGIMZlNAJSDQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@aisyahyoan8268,@aisyahyoan8268,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgwM4Zj9Ol2xa-C6Cr14AaABAg,"Liat tutorial pakai sumpit di YouTube teh, ada video nya banyak. Saya juga tadinya ga bisa. Uyeuk²an jiga nu bener padahal salah pake sumpit teh. Ga bisa buka tutup. Pas liat video cara pakai sumpit, oh gtu trnyata, bisa weh.
Mari pergunakan teknologi utk improve diri. Betul?",,,
