css-175oi2r_href,css-9pa8cd_src,css-175oi2r_href_2,css-1jxf684,css-1jxf684_2,css-1jxf684_3,css-175oi2r_href_5,css-175oi2r_href_6,css-1jxf684_4,css-1jxf684_5,css-1jxf684_6,css-1jxf684_8,css-146c3p1_href,css-146c3p1,r-4qtqp9_src
https://x.com/ismailfahmi,https://pbs.twimg.com/profile_images/1905211478971744256/rJqoXdYE_bigger.jpg,https://x.com/ismailfahmi,Ismail Fahmi,@ismailfahmi,·,https://x.com/ismailfahmi/status/1638713302783229952/analytics,,"Lupa, itu di pasarnya, sentra kulit. Keliling2 aja nyari yg cocok",1,2,2 rb,https://x.com/ismailfahmi/status/1638713302783229952,23 Mar 2023,
https://x.com/astrianee,https://pbs.twimg.com/profile_images/1615357827811545089/J3CPDcQQ_bigger.jpg,https://x.com/astrianee,nadia,@astrianee,·,https://x.com/astrianee/status/1638726329674891264/analytics,,"Tapi ini limbahnya bikin istighfar. Apalagi karena masuknya UMKM, blass aja kaya ngga ada kewajiban pengelolaan limbahnya padahal mah. 
Ya ngga bisa disalahin seluruhnya ke pedagang juga, yg bertugas membinanya aja suka lepas tangan dan merasa cukup dengan sosialisasi.",1,1,662,https://x.com/astrianee/status/1638726329674891264,23 Mar 2023,
https://x.com/iamsule,https://pbs.twimg.com/profile_images/1025321100/pas_bigger.jpg,https://x.com/iamsule,Ahmad Sulaeman,@iamsule,·,https://x.com/iamsule/status/1638520910532722689/analytics,,Jaket kulitnya juga tahan lama. Punya sy dan keluarga sdh lebih dari 10 tahun masih bagus.,1,,1 rb,https://x.com/iamsule/status/1638520910532722689,22 Mar 2023,
https://x.com/fdkfsrh,https://pbs.twimg.com/profile_images/1747328800227311616/SBrX2rlj_bigger.jpg,https://x.com/fdkfsrh,fadi al kafisah,@fdkfsrh,·,https://x.com/fdkfsrh/status/1638579000602935297/analytics,,Otw @_rainskincare,1,,594,https://x.com/fdkfsrh/status/1638579000602935297,22 Mar 2023,
https://x.com/AhmadMuhtar_98,https://pbs.twimg.com/profile_images/1616300076833595392/cKAjjiYx_bigger.jpg,https://x.com/AhmadMuhtar_98,Ahmad Muhtar,@AhmadMuhtar_98,·,https://x.com/AhmadMuhtar_98/status/1638797628954808320/analytics,,"keren bang,, dah 2 kali beli Jaket di situ (sukaregang),, asli dan keren, jaket kulit domba asli",1,,291,https://x.com/AhmadMuhtar_98/status/1638797628954808320,23 Mar 2023,https://abs-0.twimg.com/emoji/v2/svg/1f60e.svg
https://x.com/laniseptiawati,https://pbs.twimg.com/profile_images/1012519051568898048/wyZiXcM1_bigger.jpg,https://x.com/laniseptiawati,Lani Septiawati,@laniseptiawati,·,https://x.com/laniseptiawati/status/1638830354634276870/analytics,,"Garut, kulit nya bnyk yg berkwalitas, model jg bnyk menyerap trend, harga wajar, tinggal detail produk di ""sentuh"" lebih spesifik, udah mantap pisan.",1,,284,https://x.com/laniseptiawati/status/1638830354634276870,23 Mar 2023,
https://x.com/aray__raya,https://pbs.twimg.com/profile_images/1708334100917219328/5iPdIrPp_bigger.jpg,https://x.com/aray__raya,ARAY,@aray__raya,·,https://x.com/aray__raya/status/1638579975271104513/analytics,,"Betapa berpengaruhnya IP, bukan soal kualitas saja.",,,627,https://x.com/aray__raya/status/1638579975271104513,22 Mar 2023,
https://x.com/aptisk10,https://pbs.twimg.com/profile_images/1943098095795118080/uuOdkltF_bigger.jpg,https://x.com/aptisk10,Tisk,@aptisk10,·,https://x.com/aptisk10/status/1638485791805677568/analytics,,Tetep ketahuan mas. Beda.,,,1 rb,https://x.com/aptisk10/status/1638485791805677568,22 Mar 2023,
https://x.com/UwaisAtha,https://pbs.twimg.com/profile_images/1633305724167282689/CFYI47DN_bigger.jpg,https://x.com/UwaisAtha,Uwais Atha,@UwaisAtha,·,https://x.com/UwaisAtha/status/1638845660807168000/analytics,,tase,,,57,https://x.com/UwaisAtha/status/1638845660807168000,23 Mar 2023,
https://x.com/duitrakjat,https://pbs.twimg.com/profile_images/1649308710207119365/xu_zvxts_bigger.jpg,https://x.com/duitrakjat,,@duitrakjat,·,https://x.com/duitrakjat/status/1638587204443467776/analytics,,"Mas, lokasinya Garut mana ya??",,,571,https://x.com/duitrakjat/status/1638587204443467776,23 Mar 2023,https://abs-0.twimg.com/emoji/v2/svg/1f4b8.svg
